4 UMa b, 271.26, 267.34000000000003, -1, -1, 0.456, 0.408, 74.64635, 72.27425000000001
42 Dra b, 485.3, 472.90000000000003, -1, -1, 0.44, 0.32, 91.9772, 89.3318
47 UMa b, 1078.8999999999999, 1074.3, -1, -1, 0.035, -0.011, 13.8256, 13.7678
47 UMa b, 1080.0, 1076.0, -1, -1, 0.046, 0.018000000000000002, 13.8256, 13.7678
47 UMa b, 1108.0, 1093.6, -1, -1, 0.136, 0.058, 13.8256, 13.7678
47 UMa b, 1085.0, 1081.4, -1, -1, 0.063, 0.035, 13.8256, 13.7678
47 UMa b, 1077.8999999999999, 1075.5, -1, -1, 0.0236, 0.008, 13.8256, 13.7678
47 UMa c, 2491.0, 2304.0, -1, -1, 0.14500000000000002, 0.0020000000000000018, 13.8256, 13.7678
47 UMa c, 8313.0, 6859.0, -1, -1, -1, -1, 13.8256, 13.7678
47 UMa c, 2306.0, 2271.0, -1, -1, 0.269, 0.087, 13.8256, 13.7678
47 UMa d, 18020.0, 8907.0, -1, -1, 0.25, 0.0, 13.8256, 13.7678
47 UMa d, 30000.0, 15000.0, -1, -1, 0.54, 0.23, 13.8256, 13.7678
51 Eri b, 27740.0, 10585.0, -1, -1, 0.4, 0.06, 29.878800000000002, 29.6372
51 Eri b, 17897.25, 8400.75, -1, -1, 0.55, 0.30000000000000004, 29.878800000000002, 29.6372
51 Eri b, -1, -1, -1, -1, -1, -1, 29.878800000000002, 29.6372
51 Peg b, 4.23081, 4.230729999999999, -1, -1, 0.0, 0.0, 15.4911, 15.4317
51 Peg b, 4.2304, 4.2282, -1, -1, -1, -1, 15.4911, 15.4317
51 Peg b, 4.2308042, 4.2307891, -1, -1, 0.008799999999999999, 0.0011999999999999997, 15.4911, 15.4317
51 Peg b, -1, -1, 165.27159999999998, 143.02349999999998, -1, -1, 15.4911, 15.4317
51 Peg b, 4.230821, 4.230749, -1, -1, 0.025, 0.0009999999999999992, 15.4911, 15.4317
55 Cnc b, 14.65232, 14.65092, -1, -1, 0.022, 0.006, 12.5979, 12.5732
55 Cnc b, 14.65196, 14.65056, -1, -1, 0.0239, 0.0079, 12.5979, 12.5732
55 Cnc b, 14.6536, 14.6524, -1, -1, 0.04, 0.0, 12.5979, 12.5732
55 Cnc b, 14.68, 14.66, -1, -1, 0.0317, 0.0076999999999999985, 12.5979, 12.5732
55 Cnc b, 14.648, 14.646, -1, -1, 0.053, 0.006999999999999999, 12.5979, 12.5732
55 Cnc b, 14.651762999999999, 14.651658, -1, -1, 0.0084, 0.0016999999999999997, 12.5979, 12.5732
55 Cnc b, 14.466213999999999, 14.464364, 308.6, 257.11400000000003, 0.0048000000000000004, 0.0006999999999999999, 12.5979, 12.5732
55 Cnc b, 14.6517, 14.6515, -1, -1, 0.01, -0.01, 12.5979, 12.5732
